hotspot_id,latitude,longitude,acq_datetime,brightness,frp,land_cover_context,source
DEMO-031,20.5003,85.8009,2026-08-11T08:08:00,298.7,12.1,unavailable,DEMO_FIRMS
DEMO-030,19.9,79.2991,2026-08-28T08:46:00,314.0,31.1,grassland,DEMO_FIRMS
DEMO-004,22.3675,69.8563,2026-08-15T08:45:00,328.9,19.4,built_up,DEMO_FIRMS
DEMO-023,22.3601,82.7504,2026-08-10T08:07:00,334.1,23.6,built_up,DEMO_FIRMS
DEMO-001,22.3664,69.8567,2026-08-01T08:40:00,329.0,17.6,built_up,DEMO_FIRMS
DEMO-013,23.6695,86.1502,2026-08-09T08:34:00,332.5,23.0,built_up,DEMO_FIRMS
DEMO-028,22.0496,88.999,2026-08-06T08:38:00,311.7,27.5,forest,DEMO_FIRMS
DEMO-021,21.628,72.9993,2026-08-23T08:43:00,325.5,18.0,built_up,DEMO_FIRMS
DEMO-010,17.6192,83.1709,2026-08-18T08:18:00,329.5,16.5,built_up,DEMO_FIRMS
DEMO-012,23.6694,86.1513,2026-08-03T08:17:00,331.3,21.5,built_up,DEMO_FIRMS
DEMO-006,22.3681,69.8559,2026-08-27T08:13:00,328.4,17.4,built_up,DEMO_FIRMS
DEMO-024,22.3593,82.7496,2026-08-17T08:07:00,333.0,23.9,built_up,DEMO_FIRMS
DEMO-011,17.6185,83.1699,2026-08-24T08:29:00,327.5,15.8,built_up,DEMO_FIRMS
DEMO-035,12.2731,93.8524,2026-08-14T08:35:00,343.3,40.5,unavailable,DEMO_FIRMS
DEMO-002,22.3676,69.857,2026-08-05T08:06:00,328.3,18.7,built_up,DEMO_FIRMS
DEMO-025,22.3592,82.7503,2026-08-25T08:46:00,333.7,24.7,built_up,DEMO_FIRMS
DEMO-014,23.6694,86.1503,2026-08-14T08:40:00,332.3,22.1,built_up,DEMO_FIRMS
DEMO-020,21.6287,73.0009,2026-08-16T08:05:00,324.6,14.6,built_up,DEMO_FIRMS
DEMO-029,22.2995,80.5995,2026-08-22T08:19:00,316.3,33.3,forest,DEMO_FIRMS
DEMO-026,21.4996,86.2003,2026-08-13T08:40:00,315.4,30.6,forest,DEMO_FIRMS
DEMO-027,11.6593,76.6309,2026-08-19T08:48:00,313.7,29.7,forest,DEMO_FIRMS
DEMO-019,21.628,72.9996,2026-08-08T08:37:00,328.0,16.0,built_up,DEMO_FIRMS
DEMO-034,12.2775,93.853,2026-08-07T08:33:00,343.3,38.1,unavailable,DEMO_FIRMS
DEMO-018,21.6287,73.0003,2026-08-01T08:15:00,327.0,15.7,built_up,DEMO_FIRMS
DEMO-007,17.6184,83.1708,2026-08-02T08:22:00,328.9,17.1,built_up,DEMO_FIRMS
DEMO-016,23.6698,86.151,2026-08-26T08:13:00,333.9,19.9,built_up,DEMO_FIRMS
DEMO-032,18.1998,78.8994,2026-08-17T08:38:00,298.2,10.9,cropland,DEMO_FIRMS
DEMO-009,17.6184,83.1706,2026-08-12T08:23:00,326.2,15.9,built_up,DEMO_FIRMS
DEMO-008,17.6174,83.1698,2026-08-07T08:24:00,328.5,18.5,built_up,DEMO_FIRMS
DEMO-017,23.6688,86.1517,2026-08-30T08:31:00,332.8,20.1,built_up,DEMO_FIRMS
DEMO-033,23.0004,87.4998,2026-08-23T08:12:00,305.7,13.5,unavailable,DEMO_FIRMS
DEMO-022,22.3592,82.7504,2026-08-04T08:33:00,336.8,23.7,built_up,DEMO_FIRMS
DEMO-003,22.3664,69.8557,2026-08-10T08:01:00,330.4,19.2,built_up,DEMO_FIRMS
DEMO-005,22.3677,69.8555,2026-08-21T08:00:00,329.7,18.1,built_up,DEMO_FIRMS
DEMO-015,23.6685,86.15,2026-08-20T08:03:00,332.3,20.1,built_up,DEMO_FIRMS
